DATE,TIME,MQ136,MQ137,TEMP,HUMI,,Start Time = 8:54,Total Time = 27h 15',
22/07/2025,12:09:24,1652,1587,34.1,99.2,7/22/2025,27.26,,
22/07/2025,12:09:12,1664,1545,34.1,99.8,7/22/2025,27.25,,
22/07/2025,12:09:00,1648,1563,34.1,99.9,7/22/2025,27.25,,
22/07/2025,12:08:49,1644,1557,34.1,99.9,7/22/2025,27.25,,
22/07/2025,12:08:39,1650,1545,34.1,99.9,7/22/2025,27.24,,
22/07/2025,12:08:29,1655,1543,34.1,99.8,7/22/2025,27.24,,
22/07/2025,12:08:18,1656,1549,34.1,99.9,7/22/2025,27.24,,
22/07/2025,12:08:08,1655,1552,34.1,99.9,7/22/2025,27.24,,
22/07/2025,12:07:57,1648,1556,34.1,99.9,7/22/2025,27.23,,
22/07/2025,12:07:46,1656,1552,34.1,99.9,7/22/2025,27.23,,
22/07/2025,12:07:34,1658,1545,34.1,99.9,7/22/2025,27.23,,
22/07/2025,12:07:23,1641,1530,34.1,99.9,7/22/2025,27.22,,
22/07/2025,12:07:11,1649,1555,34.1,99.8,7/22/2025,27.22,,
22/07/2025,12:07:01,1644,1550,34.1,99.9,7/22/2025,27.22,,
22/07/2025,12:06:51,1636,1545,34.1,99.9,7/22/2025,27.21,,
22/07/2025,12:06:40,1645,1547,34.1,99.8,7/22/2025,27.21,,
22/07/2025,12:06:29,1648,1550,34.1,99.9,7/22/2025,27.21,,
22/07/2025,12:06:17,1649,1553,34.1,99.8,7/22/2025,27.20,,
22/07/2025,12:06:04,1648,1543,34.1,99.8,7/22/2025,27.20,,
22/07/2025,12:05:50,1638,1530,34.1,99.9,7/22/2025,27.20,,Các loại thịt bò là gán nhãn theo cảm tính :)
22/07/2025,12:05:38,1651,1539,34.1,99.9,7/22/2025,27.19,,Từ 0 - 5h: Thịt bò loại 1
22/07/2025,12:05:25,1644,1536,34.1,99.9,7/22/2025,27.19,,Từ 5h - 9h: Thịt bò loại 2
22/07/2025,12:05:12,1632,1538,34.1,99.8,7/22/2025,27.19,,Từ 9h - 12h: Thịt bò loại 3
22/07/2025,12:04:59,1658,1544,34.1,99.8,7/22/2025,27.18,,Từ 12h - 16h: Thịt bò loại 4
22/07/2025,12:04:46,1656,1538,34.1,99.8,7/22/2025,27.18,,Sau 16h: Có dấu hiệu hỏng
22/07/2025,12:04:34,1646,1534,34.1,99.8,7/22/2025,27.18,,"Sau 22h: Có mùi khó chịu, bắt đầu có bọ xung quanh"
22/07/2025,12:04:20,1652,1529,34.1,99.8,7/22/2025,27.17,,
22/07/2025,12:04:07,1656,1547,34.1,99.8,7/22/2025,27.17,,
22/07/2025,12:03:55,1662,1550,34.1,99.8,7/22/2025,27.17,,Kích cỡ hộp: a x b x h = 12 x 8 x 7 (cm)
22/07/2025,12:03:42,1645,1514,34.1,99.8,7/22/2025,27.16,,
22/07/2025,12:03:29,1641,1541,34.1,99.7,7/22/2025,27.16,,
22/07/2025,12:03:16,1647,1547,34.1,99.7,7/22/2025,27.15,,
22/07/2025,12:03:03,1651,1536,34.1,99.7,7/22/2025,27.15,,
22/07/2025,12:02:50,1644,1537,34.1,99.7,7/22/2025,27.15,,
22/07/2025,12:02:37,1652,1540,34.1,99.7,7/22/2025,27.14,,
22/07/2025,12:02:24,1653,1536,34.1,99.7,7/22/2025,27.14,,
22/07/2025,12:02:14,1644,1535,34.1,99.7,7/22/2025,27.14,,
22/07/2025,12:02:03,1652,1523,34.1,99.7,7/22/2025,27.13,,
22/07/2025,12:01:52,1650,1514,34.1,99.7,7/22/2025,27.13,,
22/07/2025,12:01:42,1647,1550,34.1,99.7,7/22/2025,27.13,,
22/07/2025,12:01:31,1637,1527,34.1,99.6,7/22/2025,27.13,,
22/07/2025,12:01:19,1645,1534,34.1,99.6,7/22/2025,27.12,,
22/07/2025,12:01:08,1643,1518,34.1,99.6,7/22/2025,27.12,,
22/07/2025,12:00:58,1645,1539,34.1,99.6,7/22/2025,27.12,,
22/07/2025,12:00:47,1636,1528,34.1,99.6,7/22/2025,27.11,,
22/07/2025,12:00:35,1637,1526,34.1,99.6,7/22/2025,27.11,,
22/07/2025,12:00:25,1628,1523,34.1,99.6,7/22/2025,27.11,,
22/07/2025,12:00:14,1628,1550,34.1,99.5,7/22/2025,27.10,,
22/07/2025,12:00:03,1644,1527,34.1,99.5,7/22/2025,27.10,,
22/07/2025,11:59:51,1645,1532,34.1,99.5,7/22/2025,27.10,,
22/07/2025,11:59:40,1621,1526,34.1,99.5,7/22/2025,27.09,,
22/07/2025,11:59:30,1654,1544,34.1,99.6,7/22/2025,27.09,,
22/07/2025,11:59:19,1657,1536,34.1,99.6,7/22/2025,27.09,,
22/07/2025,11:59:08,1662,1535,34.1,99.6,7/22/2025,27.09,,
22/07/2025,11:58:57,1654,1539,34.1,99.6,7/22/2025,27.08,,
22/07/2025,11:58:46,1661,1536,34.1,99.6,7/22/2025,27.08,,
22/07/2025,11:58:35,1651,1534,34.1,99.6,7/22/2025,27.08,,
22/07/2025,11:58:24,1666,1530,34.1,99.6,7/22/2025,27.07,,
22/07/2025,11:58:13,1659,1530,34.1,99.6,7/22/2025,27.07,,
22/07/2025,11:58:02,1662,1542,34.1,99.6,7/22/2025,27.07,,
22/07/2025,11:57:51,1660,1533,34.1,99.6,7/22/2025,27.06,,
22/07/2025,11:57:40,1648,1541,34.1,99.5,7/22/2025,27.06,,
22/07/2025,11:57:31,1644,1513,34.1,99.5,7/22/2025,27.06,,
22/07/2025,11:57:16,1642,1543,34.1,99.5,7/22/2025,27.05,,
22/07/2025,11:57:04,1630,1528,34.1,99.5,7/22/2025,27.05,,
22/07/2025,11:56:53,1647,1532,34.1,99.5,7/22/2025,27.05,,
22/07/2025,11:56:42,1653,1537,34.1,99.5,7/22/2025,27.05,,
22/07/2025,11:56:32,1645,1537,34.1,99.5,7/22/2025,27.04,,
22/07/2025,11:56:21,1652,1555,34.1,99.5,7/22/2025,27.04,,
22/07/2025,11:56:10,1649,1510,34.1,99.5,7/22/2025,27.04,,
22/07/2025,11:55:59,1658,1538,34.1,99.5,7/22/2025,27.03,,
22/07/2025,11:55:44,1645,1515,34.1,99.5,7/22/2025,27.03,,
22/07/2025,11:55:33,1637,1520,34.1,99.5,7/22/2025,27.03,,
22/07/2025,11:55:21,1654,1534,34.1,99.5,7/22/2025,27.02,,
22/07/2025,11:55:10,1658,1513,34.1,99.6,7/22/2025,27.02,,
22/07/2025,11:54:57,1672,1526,34.1,99.5,7/22/2025,27.02,,
22/07/2025,11:54:43,1656,1520,34.1,99.5,7/22/2025,27.01,,
22/07/2025,11:54:30,1660,1525,34.1,99.5,7/22/2025,27.01,,
22/07/2025,11:54:18,1656,1542,34.1,99.5,7/22/2025,27.00,,
22/07/2025,11:54:07,1654,1528,34.1,99.5,7/22/2025,27.00,,
22/07/2025,11:53:54,1647,1534,34.1,99.5,7/22/2025,27.00,,
22/07/2025,11:53:42,1648,1540,34.1,99.4,7/22/2025,27.00,,
22/07/2025,11:53:28,1640,1522,34.1,99.4,7/22/2025,26.99,,
22/07/2025,11:53:15,1657,1526,34.1,99.4,7/22/2025,26.99,,
22/07/2025,11:53:02,1669,1551,34.1,99.4,7/22/2025,26.98,,
22/07/2025,11:52:50,1641,1529,34.1,99.4,7/22/2025,26.98,,
22/07/2025,11:52:36,1661,1533,34.1,99.4,7/22/2025,26.98,,
22/07/2025,11:52:24,1675,1533,34.1,99.4,7/22/2025,26.97,,
22/07/2025,11:52:11,1664,1528,34.1,99.5,7/22/2025,26.97,,
22/07/2025,11:51:57,1659,1529,34.1,99.5,7/22/2025,26.97,,
22/07/2025,11:51:42,1673,1544,34.1,99.5,7/22/2025,26.96,,
22/07/2025,11:51:32,1660,1552,34.1,99.5,7/22/2025,26.96,,
22/07/2025,11:51:22,1671,1542,34.1,99.5,7/22/2025,26.96,,
22/07/2025,11:51:11,1674,1538,34.1,99.4,7/22/2025,26.95,,
22/07/2025,11:51:00,1661,1537,34.1,99.4,7/22/2025,26.95,,
22/07/2025,11:50:50,1672,1546,34.1,99.4,7/22/2025,26.95,,
22/07/2025,11:50:40,1678,1551,34.1,99.4,7/22/2025,26.94,,
22/07/2025,11:50:29,1667,1538,34.1,99.4,7/22/2025,26.94,,
22/07/2025,11:50:19,1666,1558,34.1,99.4,7/22/2025,26.94,,
22/07/2025,11:50:09,1672,1556,34.1,99.4,7/22/2025,26.94,,
22/07/2025,11:49:58,1663,1545,34.1,99.4,7/22/2025,26.93,,
22/07/2025,11:49:45,1676,1544,34.1,99.4,7/22/2025,26.93,,
22/07/2025,11:49:33,1682,1559,34.1,99.4,7/22/2025,26.93,,
22/07/2025,11:49:21,1692,1548,34.1,99.4,7/22/2025,26.92,,
22/07/2025,11:49:09,1695,1552,34.1,99.4,7/22/2025,26.92,,
22/07/2025,11:48:56,1687,1558,34.1,99.4,7/22/2025,26.92,,
22/07/2025,11:48:43,1699,1570,34.1,99.4,7/22/2025,26.91,,
22/07/2025,11:48:30,1696,1568,34.1,99.4,7/22/2025,26.91,,
22/07/2025,11:48:20,1690,1559,34.1,99.4,7/22/2025,26.91,,
22/07/2025,11:48:09,1689,1583,34.1,99.4,7/22/2025,26.90,,
22/07/2025,11:47:55,1690,1584,34.1,99.4,7/22/2025,26.90,,
22/07/2025,11:47:43,1694,1584,34.1,99.4,7/22/2025,26.90,,
22/07/2025,11:47:30,1709,1602,34.1,99.4,7/22/2025,26.89,,
22/07/2025,11:47:17,1704,1592,34.1,99.4,7/22/2025,26.89,,
22/07/2025,11:47:04,1729,1619,34.1,99.4,7/22/2025,26.88,,
22/07/2025,11:46:51,1728,1624,34.1,99.3,7/22/2025,26.88,,
22/07/2025,11:46:37,1733,1628,34.1,99.4,7/22/2025,26.88,,
22/07/2025,11:46:26,1734,1632,34.1,99.4,7/22/2025,26.87,,
22/07/2025,11:46:15,1743,1630,34.1,99.4,7/22/2025,26.87,,
22/07/2025,11:46:05,1727,1649,34.1,99.4,7/22/2025,26.87,,
22/07/2025,11:45:54,1723,1647,34.1,99.4,7/22/2025,26.87,,
22/07/2025,11:45:43,1724,1656,34.1,99.4,7/22/2025,26.86,,
22/07/2025,11:45:31,1708,1667,34.1,99.4,7/22/2025,26.86,,
22/07/2025,11:45:20,1646,1584,34.1,99.4,7/22/2025,26.86,,
