ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,humidity,temperature,class
24298.3,24297.4,1636.6,1636.5,1636.7,1042.3,1042.1,1042.2,6276.7,6276.8,6276.6,1310.5,1310.6,1311.2,3748.8,3748.8,103661.9,103672.1,14166.6,14163.4,14165.0,2548.4,2545.6,2544.8,1237.6,1237.5,1237.6,2156.2,2155.9,2156.6,14371.4,14370.8,20891.6,20897.4,3521.6,3521.3,3521.9,2076.3,2075.5,2075.6,4055.0,4053.0,4053.5,2125.9,2125.8,2125.8,70806.4,70777.6,4621.7,4622.4,1426.7,1425.7,1425.7,3500.3,3500.5,3500.7,1225.8,1225.0,1225.3,1574.2,1574.2,1573.9,4349.2,4349.3,30.790001,29.049999,Ambient_Air
24297.0,24295.1,1636.5,1636.0,1636.3,1042.1,1041.9,1042.2,6275.8,6275.1,6275.5,1310.9,1311.2,1311.9,3748.2,3748.5,103731.2,103737.3,14164.0,14159.2,14160.7,2548.2,2545.7,2544.5,1237.5,1237.3,1237.5,2156.3,2156.1,2155.9,14369.9,14370.2,20891.0,20889.3,3520.0,3519.9,3521.1,2076.2,2075.3,2075.6,4054.1,4052.3,4053.2,2125.2,2124.8,2125.3,70788.0,70776.1,4621.7,4621.8,1426.6,1425.8,1425.8,3498.8,3498.7,3499.4,1225.8,1225.4,1225.3,1574.1,1573.9,1574.2,4347.6,4347.6,30.860001,29.02,Ambient_Air
24284.0,24290.3,1635.9,1635.8,1635.8,1042.1,1041.7,1041.9,6275.0,6274.5,6274.4,1310.2,1310.3,1311.0,3747.1,3747.3,103700.7,103663.1,14166.7,14163.9,14157.9,2548.2,2545.5,2544.3,1237.0,1237.0,1237.0,2156.2,2155.1,2156.2,14363.1,14367.5,20864.8,20879.7,3518.4,3518.4,3518.4,2075.7,2074.8,2075.3,4050.6,4049.0,4049.2,2124.6,2124.6,2124.9,70728.7,70735.1,4619.9,4620.5,1426.6,1425.8,1425.6,3498.2,3497.9,3498.9,1225.7,1225.1,1225.1,1574.1,1573.7,1574.4,4348.6,4348.1,30.9,29.02,Ambient_Air
24295.5,24293.1,1635.9,1635.4,1635.4,1041.9,1041.6,1041.9,6274.9,6275.0,6274.8,1310.1,1310.3,1311.1,3747.3,3747.5,103683.2,103698.3,14166.0,14159.8,14158.7,2548.3,2545.8,2544.5,1237.3,1237.0,1237.2,2156.1,2155.8,2156.2,14365.6,14366.1,20870.7,20871.3,3519.2,3519.3,3518.7,2076.2,2075.6,2075.6,4052.6,4051.3,4050.5,2125.0,2124.9,2125.2,70744.8,70774.3,4622.1,4622.6,1426.5,1425.7,1425.5,3498.4,3498.4,3498.6,1226.1,1225.4,1225.7,1574.3,1573.0,1573.9,4348.7,4347.7,31.23,29.030001,Ambient_Air
24293.4,24287.2,1636.2,1635.7,1636.0,1042.1,1041.9,1042.1,6275.1,6274.3,6274.5,1310.2,1310.6,1310.7,3747.7,3747.5,103714.9,103749.3,14161.7,14153.2,14151.5,2548.3,2546.1,2545.0,1237.1,1236.9,1237.0,2156.5,2155.8,2156.1,14366.2,14365.6,20880.7,20880.1,3518.8,3518.9,3519.5,2075.3,2074.6,2074.9,4052.1,4051.1,4051.9,2124.7,2124.5,2125.0,70805.0,70807.8,4621.1,4621.0,1426.2,1425.5,1425.3,3497.9,3497.4,3498.9,1226.2,1225.4,1225.8,1574.4,1574.1,1574.5,4348.9,4347.7,31.299999,29.049999,Ambient_Air
24282.5,24280.6,1635.9,1635.3,1635.6,1041.9,1041.7,1041.7,6273.3,6273.3,6273.0,1309.6,1309.6,1310.4,3747.1,3747.1,103724.5,103773.7,14152.5,14149.5,14150.6,2547.5,2545.4,2543.8,1236.8,1236.6,1236.6,2155.5,2155.3,2155.5,14367.7,14368.0,20892.4,20885.3,3518.3,3518.3,3518.2,2075.4,2074.4,2074.2,4051.0,4049.9,4049.8,2123.8,2124.0,2124.6,70754.6,70733.8,4619.5,4619.8,1426.2,1425.3,1424.9,3497.3,3496.8,3497.8,1225.5,1225.0,1224.9,1573.7,1572.7,1572.9,4349.0,4348.0,31.08,29.030001,Ambient_Air
24285.7,24283.6,1635.7,1635.4,1635.7,1041.7,1041.6,1041.7,6271.5,6270.9,6271.3,1309.5,1309.8,1310.0,3746.8,3747.3,103609.2,103607.9,14147.9,14148.1,14143.8,2546.8,2544.5,2543.3,1236.4,1236.3,1236.4,2155.4,2154.8,2155.6,14365.5,14365.5,20879.5,20879.9,3517.2,3517.1,3517.3,2074.7,2073.7,2074.0,4049.6,4048.3,4048.0,2123.5,2123.3,2123.9,70692.6,70715.8,4619.0,4619.2,1425.7,1424.8,1424.8,3497.3,3496.7,3497.2,1225.4,1225.1,1225.4,1572.9,1573.0,1573.0,4349.6,4348.6,30.969999,29.030001,Ambient_Air
24283.0,24281.6,1635.7,1635.5,1635.5,1041.6,1041.5,1041.7,6271.3,6271.0,6271.2,1309.7,1309.8,1310.3,3746.8,3747.0,103540.9,103555.5,14157.4,14147.3,14145.6,2546.4,2543.9,2542.8,1236.0,1235.9,1236.0,2154.1,2154.2,2155.0,14358.0,14363.5,20888.2,20885.7,3515.5,3515.3,3516.3,2074.4,2073.5,2073.4,4047.4,4046.3,4045.6,2123.0,2122.6,2123.1,70702.5,70691.4,4618.2,4619.7,1425.5,1424.6,1424.6,3495.8,3496.0,3496.3,1225.8,1224.9,1224.9,1573.8,1573.0,1573.7,4348.2,4348.4,30.93,29.02,Ambient_Air
24285.3,24287.8,1636.1,1635.3,1635.7,1041.7,1041.5,1041.7,6269.8,6269.8,6270.2,1309.1,1309.3,1309.7,3746.2,3746.4,103588.9,103578.7,14143.7,14142.4,14139.6,2546.3,2544.6,2543.2,1235.6,1235.4,1235.5,2154.2,2153.8,2154.5,14367.2,14364.0,20869.1,20867.3,3513.5,3513.2,3513.0,2073.8,2073.0,2073.3,4044.6,4044.0,4043.5,2122.1,2121.8,2122.4,70718.4,70738.1,4619.4,4619.8,1425.2,1424.2,1424.0,3494.7,3494.9,3494.9,1225.4,1224.6,1224.6,1573.7,1573.7,1573.7,4347.3,4347.4,30.959999,29.02,Ambient_Air
24289.7,24288.3,1635.3,1635.2,1635.5,1041.5,1041.2,1041.5,6269.0,6268.1,6268.4,1308.9,1308.6,1308.9,3745.4,3745.9,103635.3,103611.0,14149.6,14148.4,14147.3,2545.5,2543.6,2542.1,1235.3,1235.3,1235.2,2153.4,2153.2,2154.0,14358.7,14359.3,20876.6,20876.4,3513.6,3513.3,3513.9,2074.2,2073.2,2073.4,4044.8,4044.0,4043.5,2121.9,2121.6,2122.1,70743.2,70778.8,4617.1,4617.4,1424.9,1423.7,1424.1,3494.5,3494.9,3495.3,1225.2,1224.5,1224.6,1573.6,1573.2,1574.4,4348.2,4346.6,30.99,29.030001,Ambient_Air
