DATE,TIME,MQ2,MQ3,MQ4,MQ6,MQ7,MQ135,TEMP,HUMI,Average,961.4466292,2668.323034,1034.717697,3255.835674,1641.801966,2462.046348,37.51671348,76.62794944
21/05/2025,11:08:51,797,2712,1101,3451,1631,2495,38.1,73.8,,,,,,,,,
21/05/2025,11:08:41,796,2723,1154,3457,1635,2502,38.2,74.5,,,,,,,,,
21/05/2025,11:08:30,812,2748,1261,3536,1635,2514,38.2,81.1,,,,,,,,,
21/05/2025,11:08:19,813,2747,1290,3585,1632,2499,38.3,83.3,,,,,,,,,
21/05/2025,11:08:09,817,2747,1287,3593,1634,2503,38.3,83.3,,,,,,,,,
21/05/2025,11:07:58,813,2752,1293,3605,1633,2504,38.3,83.4,,,,,,,,,
21/05/2025,11:07:47,810,2753,1294,3610,1634,2507,38.3,83.4,,,,,,,,,
21/05/2025,11:07:35,803,2752,1305,3609,1633,2506,38.3,83.5,,,,,,,,,
21/05/2025,11:07:24,814,2756,1303,3607,1638,2503,38.3,83.6,,,,,,,,,
21/05/2025,11:07:13,818,2762,1312,3618,1637,2518,38.3,83.7,,,,,,,,,
21/05/2025,11:07:02,818,2769,1317,3715,1635,2521,38.3,83.7,,,,,,,,,
21/05/2025,11:06:51,814,2756,1321,3618,1637,2520,38.2,83.7,,,,,,,,,
21/05/2025,11:06:40,816,2757,1322,3615,1632,2516,38.2,83.7,,,,,,,,,
21/05/2025,11:06:29,817,2743,1339,3599,1632,2506,38.2,83.7,,,,,,,,,
21/05/2025,11:06:19,815,2732,1332,3584,1625,2502,38.2,83.7,,,,,,,,,
21/05/2025,11:06:08,810,2722,1326,3563,1620,2490,38.2,83.7,,,,,,,,,
21/05/2025,11:05:57,810,2724,1327,3567,1623,2493,38.2,83.7,,,,,,,,,
21/05/2025,11:05:46,808,2723,1324,3556,1618,2496,38.2,83.6,,,,,,,,,
21/05/2025,11:05:35,805,2723,1322,3564,1619,2492,38.2,83.6,,,,,,,,,
21/05/2025,11:05:22,809,2721,1316,3555,1617,2491,38.2,83.7,,,,,,,,,
21/05/2025,11:05:12,806,2727,1320,3567,1622,2491,38.2,83.6,,,,,,,,,
21/05/2025,11:04:59,811,2722,1320,3552,1617,2488,38.2,83.6,,,,,,,,,
21/05/2025,11:04:48,815,2731,1320,3559,1621,2497,38.2,83.6,,,,,,,,,
21/05/2025,11:04:37,816,2738,1328,3576,1629,2499,38.2,83.6,,,,,,,,,
21/05/2025,11:04:26,810,2721,1316,3546,1616,2486,38.2,83.6,,,,,,,,,
21/05/2025,11:04:15,813,2733,1320,3567,1628,2500,38.2,83.7,,,,,,,,,
21/05/2025,11:04:04,812,2722,1314,3561,1620,2492,38.2,83.7,,,,,,,,,
21/05/2025,11:03:53,809,2712,1316,3540,1617,2487,38.2,83.6,,,,,,,,,
21/05/2025,11:03:42,806,2712,1299,3540,1616,2487,38.2,83.6,,,,,,,,,
21/05/2025,11:03:31,803,2726,1315,3551,1623,2491,38.2,83.6,,,,,,,,,
21/05/2025,11:03:20,817,2734,1321,3549,1620,2497,38.2,83.7,,,,,,,,,
21/05/2025,11:03:08,812,2737,1325,3560,1627,2498,38.2,83.6,,,,,,,,,
21/05/2025,11:02:56,816,2733,1332,3560,1624,2502,38.2,83.6,,,,,,,,,
21/05/2025,11:02:45,808,2720,1327,3536,1617,2491,38.2,83.6,,,,,,,,,
21/05/2025,11:02:34,803,2720,1321,3520,1614,2482,38.2,83.5,,,,,,,,,
21/05/2025,11:02:23,809,2703,1313,3511,1618,2471,38.2,83.5,,,,,,,,,
21/05/2025,11:02:11,807,2702,1315,3509,1612,2475,38.2,83.6,,,,,,,,,
21/05/2025,11:02:01,806,2704,1313,3513,1613,2475,38.2,83.5,,,,,,,,,
21/05/2025,11:01:50,809,2710,1299,3519,1607,2469,38.2,83.5,,,,,,,,,
21/05/2025,11:01:39,810,2702,1297,3499,1609,2467,38.2,83.5,,,,,,,,,
21/05/2025,11:01:28,802,2703,1294,3499,1611,2469,38.2,83.5,,,,,,,,,
21/05/2025,11:01:17,805,2702,1278,3490,1605,2468,38.2,83.4,,,,,,,,,
21/05/2025,11:01:07,818,2707,1260,3491,1610,2467,38.2,83.5,,,,,,,,,
21/05/2025,11:00:56,810,2718,1260,3501,1617,2468,38.2,83.4,,,,,,,,,
21/05/2025,11:00:45,818,2735,1267,3506,1626,2479,38.2,83.3,,,,,,,,,
21/05/2025,11:00:35,815,2742,1268,3536,1632,2489,38.2,83.4,,,,,,,,,
21/05/2025,11:00:24,816,2746,1261,3533,1638,2495,38.2,83.4,,,,,,,,,
21/05/2025,11:00:14,820,2747,1260,3532,1638,2495,38.2,83.4,,,,,,,,,
21/05/2025,11:00:03,814,2748,1264,3532,1640,2494,38.2,83.5,,,,,,,,,
21/05/2025,10:59:51,807,2752,1263,3531,1639,2497,38.1,83.5,,,,,,,,,
21/05/2025,10:59:40,817,2749,1261,3532,1639,2497,38.1,83.5,,,,,,,,,
21/05/2025,10:59:29,811,2753,1264,3539,1643,2500,38.1,83.5,,,,,,,,,
21/05/2025,10:59:18,815,2751,1256,3534,1642,2497,38.1,83.5,,,,,,,,,
21/05/2025,10:59:07,820,2752,1255,3535,1642,2498,38.1,83.4,,,,,,,,,
